date,td3,sac,ppo,sse,ewtf,our,van
2021-08-11,921556.1037900004,686436.4821800004,844720.0400699992,855600.6637870466,869340.5218,999003.95485,897346.1105499957
2021-08-12,916567.6337900003,685721.7321800004,842729.2015199992,846021.2323484804,870793.10335,999646.2490699998,894762.0806599958
2021-08-13,908500.7337900004,686172.0421800003,836026.3424199992,839933.5315314941,856627.72141,986826.3588099998,893817.0654199957
2021-08-16,917278.4837900002,691337.0821800004,843330.5569399992,846769.6265369023,855494.38768,992250.89885,896659.9407099958
2021-08-17,915988.6137900002,692483.4221800003,848014.0874799989,838607.0405097055,838038.2962100001,990403.41398,895651.7595999956
2021-08-18,944851.6237900004,727417.2221800004,860741.0278099991,863415.048799963,865441.6157000001,996050.4645299998,912574.3227899956
2021-08-19,917790.1337900003,702152.2921800003,836448.1473099991,834032.8524899097,848217.6164800001,974538.9863499996,900012.9089099953
2021-08-20,908307.0637900004,688989.4421800004,837393.988509999,824128.5527294311,819726.0735300002,964142.48511,896140.4037499954
2021-08-23,910589.3237900004,690966.2021800004,837329.9187699989,823692.8555951482,842708.29919,973620.35534,896513.4642599955
2021-08-24,931412.6237900002,709567.5821800004,847470.7295599991,822414.9020065601,841938.9167099998,998351.0106499998,898742.9063199956
2021-08-25,934047.6837900002,694530.2621800003,855128.5422299991,821427.647426282,848312.5787500001,1010854.78342,896297.3464699956
2021-08-26,917186.5037900002,685178.2521800003,836230.4551899991,802660.5682689924,819633.68655,989398.27838,889206.2077799954
2021-08-27,933648.38379,682516.2021800004,848356.4496399994,823456.5050474473,829386.3949800001,1012921.24692,889864.2415899957
2021-08-30,945000.4637900002,679061.4221800003,855806.7652799991,813401.6323542133,812906.29452,1035480.36035,883699.5203899957
