date,our,ewtf,td3,sac,ppo,sse
2020-12-23,1397974.11716,1115303.9599400002,1110862.38279,1136625.0983300002,1085916.2720800005,1372274.6413733063
2020-12-24,1422055.72234,1118997.32111,1115339.7527899998,1141106.4683300003,1085461.6782300002,1390115.3436274738
2020-12-25,1459959.9542300005,1131116.9919500002,1133013.93279,1162570.98833,1084484.5576800006,1426139.2228688428
2020-12-28,1445813.0231600003,1118962.97298,1099432.92279,1145773.98833,1080135.9142200006,1408804.433527426
2020-12-29,1430891.01964,1110982.1879500004,1084183.60279,1139499.5983300002,1072932.7422300004,1394626.341310241
2020-12-30,1470488.9729700002,1129308.9769900006,1111236.8427899997,1167501.20833,1091570.8420200006,1434395.5389410954
2020-12-31,1538233.9221100002,1145419.0886,1126914.88279,1173938.2083300003,1124532.2186400006,1460507.9957602802
2021-01-04,1568411.47937,1145828.08787,1119639.8127899999,1178873.6283300002,1139197.5914500006,1476600.3011994981
2021-01-05,1572741.1438100005,1147814.8294400002,1124798.3927899997,1191264.2883300001,1149394.4709400006,1492607.719909888
2021-01-06,1559898.0975000006,1159307.21562,1150631.67279,1215711.8583300002,1149618.6290800006,1501221.4895505486
2021-01-07,1646375.4917700002,1173750.8502400003,1152162.46279,1224306.7485800001,1174755.3856200005,1542239.026719045
2021-01-08,1571822.3205100002,1157649.3901600002,1139617.76279,1210024.3056600003,1144169.2687600006,1502675.5557477681
2021-01-11,1588594.7112500002,1147659.60746,1112766.4227900002,1191975.97055,1139541.3813500004,1498523.3106651623
2021-01-12,1671374.9548200003,1179465.79179,1150319.7927899999,1227161.21055,1175593.9253800004,1551419.9236457117
2021-01-13,1602957.6891100004,1163316.90285,1129324.95279,1207667.27055,1146322.4157700005,1515093.809678018
2021-01-14,1532073.126310001,1142807.5446200003,1109439.3827899997,1185755.5751200002,1115057.6925700004,1469891.4617001074
2021-01-15,1533918.7202200005,1147801.62276,1111098.9827899998,1183446.86512,1119882.1677600006,1472273.53619706
2021-01-18,1511824.9650600003,1143091.1107,1102381.8827900002,1174234.76512,1119509.8009600006,1463393.3451362695
2021-01-19,1485555.6926700005,1132762.82143,1087639.39279,1161253.5451200001,1105614.4165700004,1436495.603636873
2021-01-20,1499540.09413,1126449.7713700004,1085050.86279,1154079.1151200002,1108001.6229600005,1440935.3244465708
2021-01-21,1501433.2302900006,1130981.5372100002,1096023.09279,1160198.6851200003,1109981.2038100006,1449694.695561716
2021-01-22,1543211.8942600002,1137883.7015500003,1107999.99279,1163772.1251200002,1123152.5418500006,1478014.1773527686
2021-01-25,1624501.2754600004,1146341.0083100002,1099007.84279,1171786.47512,1155855.8554200004,1515297.9175441796
2021-01-26,1576139.3484600005,1114750.7148500003,1075285.5527899999,1132889.8451199997,1132968.0206500003,1469484.2851931886
2021-01-27,1572138.1110900005,1111705.5115700003,1067620.2927899999,1127859.93512,1123579.3007000005,1464888.3807964893
2021-01-28,1530026.4822000002,1088525.81266,1055446.63279,1110442.09512,1088405.2297600005,1428869.1480917784
2021-02-19,1823180.83486,1159950.4787900003,1041662.3027899999,1135286.1151200002,1230279.0186200005,1590704.0228495288
2021-02-22,1701086.4868400004,1128940.5636399998,1007047.4327899999,1099889.0751200002,1172472.3062400005,1511100.7059777924
2021-02-23,1685418.8099400003,1127225.5707,1005975.5027899998,1093819.1251200002,1156721.7606500005,1499035.4689228837
