date,ewtf,our,td3,sac,ppo,sse
2021-05-25,1558129.82631,1254181.1510400008,889867.2495000003,900279.99319,1000341.6205799985,1206213.1457088317
2021-05-26,1546542.4775200002,1250555.099040001,889866.4995000003,900752.4131899999,1000232.4664599985,1198845.444849562
2021-05-27,1560164.6471400002,1265370.5470400008,887447.7495000003,897581.36319,1001265.2527999985,1213594.8292259972
2021-05-28,1517685.8763100002,1258679.6010400008,879059.7495000003,890757.2131899999,1001513.6747999985,1188696.6448837903
2021-05-31,1542828.9354800002,1262553.4680400006,877927.2495000003,888989.32319,1001383.9357599985,1202700.437856944
2021-06-01,1616299.8023400004,1270226.4760400008,873574.2495000003,883445.0531899999,1001354.8772599985,1241089.857327918
2021-06-02,1617117.5782100004,1263453.1720400008,866800.2495000003,876624.0231899999,1000914.2988799985,1236416.5888706804
2021-06-03,1603683.5153000006,1263428.953040001,867929.7495000003,876624.3631899998,1000787.8023199985,1229848.638050459
2021-06-04,1637215.4085200003,1274462.561040001,865509.4995000003,875193.2031899999,1001675.8262799986,1252533.8251448653
2021-06-07,1616749.9064500006,1277358.4480400009,869863.2495000003,878992.9731899999,1001768.7865999986,1244361.9603660596
2021-06-08,1356661.4650200002,1272213.8690400007,875666.7495000003,885481.2031899999,1002073.6865399986,1108274.7758521948
2021-06-09,1363964.3332700003,1273020.7410400007,873246.4995000003,883095.9831899999,1002132.8252399986,1112137.758949803
2021-06-10,1396864.2786600003,1268178.1618700004,866794.2495000003,877223.1831899999,1001924.3636999986,1126062.746436291
2021-06-11,1364230.9420800004,1252565.4778700003,861635.7495000003,871368.55319,1000843.5629999986,1099672.9282340407
2021-06-15,1346251.3539900004,1248181.8742700005,845504.7495000003,855809.6931899999,1000823.4266399986,1085189.9231559515
2021-06-16,1279420.6941800003,1242119.0292700008,845835.4995000003,854746.1131899998,1000436.7503599986,1045647.9331698545
2021-06-17,1278663.0841800002,1238983.179270001,792776.7495000003,804176.5131899999,1001802.4556199985,1034502.1761397347
2021-06-18,1311892.8520200003,1238573.6772700006,774877.2495000003,786112.4731899999,1002176.7554599986,1048950.8689351995
2021-06-21,1361226.5532000002,1227173.7322700007,744723.4995000003,756014.64319,1002135.9738199986,1064500.1000050001
2021-06-22,1410356.4344300004,1234475.9372700006,752788.2495000003,763789.4631899999,1002487.7323399986,1096269.1497976962
2021-06-23,1422128.7198000003,1244720.1732700008,760527.4995000003,770752.01319,1002840.8694799985,1109060.0277436553
2021-06-24,1408081.9614200003,1237752.577270001,754724.7495000003,765381.4631899999,1002665.9652399987,1097013.5813491705
2021-06-25,1450685.2096000004,1243897.036270001,764562.4995000003,775848.1331899998,1003047.6616799986,1124865.5538447024
2021-06-28,1458112.1660000002,1240201.045270001,764882.7495000003,775038.03319,1002482.8966399987,1127261.2921883208
2021-06-29,1461204.8131500003,1225622.371270001,748109.7495000003,758386.9831899999,1001759.9537799987,1118871.278615477
2021-06-30,1450087.1373800004,1237350.675270001,746819.7495000003,758073.8431899999,1002756.8336999987,1117705.7564218417
