date,ewtf,our,ppo,sse,sac,td3
2021-01-27,1416643.0814700003,1460623.8503900005,1229263.9776699967,1336525.2993614124,1494245.086579999,1318430.2716999997
2021-01-28,1386925.86495,1422963.3503900005,1199765.3664099968,1303466.7076416756,1452709.9465799993,1280713.2316999997
2021-01-29,1389806.99323,1395257.85039,1210141.0194799965,1292623.2106550098,1463969.0465799992,1299824.3316999997
2021-02-01,1366065.58813,1405051.6003900005,1237420.9880699967,1305960.3667625329,1476781.8691899988,1271874.6016999998
2021-02-02,1349158.57257,1406954.8503900005,1286567.7782299966,1311653.0863256752,1518307.457029999,1243579.6616999998
2021-02-03,1326280.90455,1394760.3803900003,1306508.9368399966,1307038.5641981282,1524476.657029999,1219506.3116999997
2021-02-04,1317513.7383700004,1418331.2803900002,1285912.3038199965,1320917.9290918175,1499655.137029999,1210253.6016999998
2021-02-05,1339743.1255200002,1435407.5703900002,1325422.4455899966,1342060.9883486023,1541203.0770299989,1222868.7016999999
2021-02-08,1340970.13063,1438766.0003900002,1354188.4793099966,1349818.2794081734,1565625.535079999,1243361.8616999998
2021-02-09,1361263.66647,1437044.0303900002,1359321.0307399968,1352220.3333196254,1578933.5701199993,1270859.9216999998
2021-02-10,1378144.8342999998,1449958.96039,1421893.441579997,1380032.7608735766,1647906.6901199992,1280177.0316999997
2021-02-18,1399470.85202,1483427.8203900002,1410047.6721299966,1404832.2715160754,1643600.534969999,1284626.0616999997
2021-02-19,1419128.8257700002,1507961.3903900003,1390461.2723199967,1413547.1339612184,1631610.2676699993,1279164.5016999997
2021-02-22,1390245.4459600002,1484969.70039,1312228.8870099967,1370142.3119774107,1545618.188239999,1238222.6316999998
2021-02-23,1394775.48322,1507358.58039,1306534.3164999965,1381114.5507653863,1539444.723069999,1239885.9316999998
2021-02-24,1368098.6999700002,1478840.19039,1261033.9788699965,1352213.8950175305,1491959.8074899989,1223981.7717
2021-02-25,1404244.8779600002,1522815.69039,1279413.4426999968,1389062.5086508621,1523071.9594499993,1241497.7016999999
2021-02-26,1361950.58217,1473445.8303900005,1241980.901469997,1345338.4137871733,1478466.573189999,1202668.2517
2021-03-01,1352165.04199,1461110.0003900002,1283065.5228899969,1353006.6448998398,1512614.4877799992,1224320.3916999998
