date,ewtf,ppo,sse,sac,td3,our,van
2021-01-18,1429446.58191,1195571.1074399964,1360710.689067911,1465164.826579999,1311490.5516999995,1429410.1697800006,1261743.399309999
2021-01-19,1422555.08071,1178602.4006099966,1347741.9997042448,1442021.216579999,1280980.2217,1420337.8977800007,1237885.265159999
2021-01-20,1407293.75043,1183350.894649997,1335386.6895143643,1444308.106579999,1271685.7516999997,1416445.0437800004,1244836.5896899991
2021-01-21,1410929.35715,1184797.727819997,1334921.100401627,1446637.8065799992,1288214.4917,1423751.0727800005,1249043.1252899994
2021-01-22,1389973.44134,1201903.8416199966,1328919.065995127,1460952.476579999,1282565.9717,1411839.6697800006,1263148.1375799992
2021-01-25,1422526.39184,1255802.585729997,1362561.7978826729,1524272.1965799993,1319808.7716999997,1417336.7407800006,1319461.1690499992
2021-01-26,1392990.11022,1227293.4064999968,1330281.5134986031,1481959.236579999,1287659.5416999997,1396097.215780001,1281679.875849999
2021-01-27,1416643.0814700003,1229263.977669997,1336525.2993614124,1494245.086579999,1318430.2716999997,1409310.6097800003,1296432.8890299993
2021-01-28,1386925.86495,1199765.3664099968,1303466.7076416756,1452709.9465799993,1280713.2316999997,1398381.4737800006,1260072.9150099987
2021-01-29,1389806.99323,1210141.0194799963,1292623.2106550098,1463969.0465799992,1299824.3316999995,1397368.056780001,1277188.334459999
2021-02-01,1366065.58813,1237420.9880699967,1305960.3667625329,1476781.8691899988,1271874.6016999998,1395934.3967800003,1283074.3304599992
2021-02-02,1349158.57257,1286567.7782299966,1311653.0863256752,1518307.457029999,1243579.6616999998,1388881.8267800005,1318580.168499999
2021-02-03,1326280.90455,1306508.9368399966,1307038.5641981282,1524476.657029999,1219506.3116999995,1388597.9397800004,1327305.0862599993
2021-02-04,1317513.7383700004,1285912.3038199963,1320917.9290918177,1499655.137029999,1210253.6016999998,1372360.2497800004,1294453.458289999
2021-02-05,1339743.1255200002,1325422.4455899966,1342060.9883486023,1541203.0770299989,1222868.7017,1377881.3887800006,1330481.2877699994
2021-02-08,1340970.13063,1354188.4793099966,1349818.2794081734,1565625.535079999,1243361.8616999998,1391305.6607800005,1355911.950309999
2021-02-09,1361263.66647,1359321.0307399968,1352220.3333196254,1578933.570119999,1270859.9216999998,1401943.3887800006,1373764.9193899992
2021-02-10,1378144.8342999998,1421893.441579997,1380032.7608735766,1647906.6901199992,1280177.0316999997,1403891.7277800003,1434291.8162099991
2021-02-18,1399470.85202,1410047.6721299966,1404832.2715160754,1643600.534969999,1284626.0616999995,1414051.0067800004,1429892.3062099994
2021-02-19,1419128.8257700002,1390461.2723199967,1413547.1339612184,1631610.2676699993,1279164.5016999997,1412752.1977800005,1414864.4662099993
2021-02-22,1390245.4459600002,1312228.8870099967,1370142.3119774107,1545618.188239999,1238222.6316999998,1379284.0807800002,1337618.926209999
2021-02-23,1394775.48322,1306534.3164999965,1381114.5507653863,1539444.723069999,1239885.9316999998,1389570.6157800003,1327523.936209999
2021-02-24,1368098.6999700002,1261033.9788699965,1352213.8950175303,1491959.8074899989,1223981.7717,1368876.9337800003,1285422.1462099992
2021-02-25,1404244.8779600002,1279413.4426999968,1389062.508650862,1523071.9594499993,1241497.7017,1381294.8031800005,1307638.0962099992
2021-02-26,1361950.58217,1241980.901469997,1345338.413787173,1478466.573189999,1202668.2517,1337558.5031800005,1265534.6062099992
2021-03-01,1352165.04199,1283065.5228899969,1353006.6448998398,1512614.4877799992,1224320.3916999998,1330012.0401800007,1295992.206209999
2021-03-02,1334365.2422600002,1258689.3821599968,1328906.368771341,1481349.9719799992,1206166.8216999995,1320215.3251800004,1268035.896209999
2021-03-03,1368769.8589400002,1288613.9483399966,1376991.8994039344,1515826.341329999,1220973.0217,1351335.6271800003,1293825.4062099992
2021-03-04,1345165.86994,1248239.157309997,1353158.6334319827,1471030.919959999,1185007.1616999998,1330271.0031800005,1250034.3162099991
2021-03-05,1333309.7407400005,1235619.3005499968,1332298.1661863648,1458767.107029999,1185814.3117,1326791.8931800008,1241085.4162099992
2021-03-08,1294814.8484000002,1171895.2034799969,1304047.778950128,1392339.9878299988,1151887.3017,1297746.1651800005,1175368.8062099991
2021-03-09,1265646.6129200002,1170804.466509997,1285618.1537468669,1383699.0528399989,1116798.2617,1270375.0941800007,1168626.456209999
2021-03-10,1270201.7902000002,1210301.8854699966,1294064.105572795,1420187.842839999,1128179.2217,1269019.980180001,1201899.8962099992
2021-03-11,1297173.1810100002,1226158.029739997,1332933.2552372457,1441444.8028399989,1149204.9216999998,1301608.3911800007,1217957.3162099991
2021-03-12,1306972.54029,1242641.088269997,1336920.105936055,1457587.3528399991,1159859.7617,1309094.1091800006,1234564.526209999
2021-03-15,1292583.2056100003,1211641.778149997,1320817.946332699,1424519.7628399988,1143530.0917,1292263.517180001,1204730.416209999
2021-03-16,1318637.7784300004,1211303.253769997,1330556.813938722,1428201.3428399991,1157882.2117,1305152.0111800006,1208614.266209999
2021-03-17,1311989.19843,1233247.951159997,1313865.1376035323,1446283.882839999,1164669.3217,1302457.1611800008,1231201.4362099993
2021-03-18,1308989.44049,1243114.4724099971,1311131.166917723,1451416.6828399987,1168456.9817,1309645.3331800003,1237295.0440999991
2021-03-19,1275228.6245400002,1218354.9416999968,1278604.4380981054,1423920.252839999,1137993.9817,1280262.0581800006,1215006.772479999
2021-03-22,1287289.5579300004,1235214.420589997,1292685.3053637715,1441067.342839999,1151731.3917,1303802.0239300006,1231265.0290999992
2021-03-23,1274814.11691,1205212.4716399969,1282669.9931615335,1410541.6128399991,1133268.7717,1297270.7901200007,1200838.233669999
2021-03-24,1259265.1126800005,1184947.318109997,1262694.6615547969,1388768.022839999,1113993.3917,1278917.2942300008,1181998.194739999
2021-03-25,1256954.2249400003,1192823.5890099967,1262910.223472011,1394942.412839999,1111415.1917,1267533.0363300007,1187283.4811799992
2021-03-26,1283582.81449,1234354.2394899968,1287005.5884559143,1436933.0728399989,1138123.6416999998,1283359.9860500009,1224540.594149999
2021-03-29,1286306.4300000002,1240071.208049997,1281389.8327826527,1444812.552839999,1145361.8516999998,1286354.1746300007,1231380.222659999
2021-03-30,1289865.70196,1247836.797559997,1287633.6234935813,1451711.622839999,1151250.2317,1294058.5293300007,1236524.774479999
2021-03-31,1269662.65972,1217178.8778199968,1270968.6651424626,1416769.2428399988,1140565.2017,1292103.3666400006,1208484.757839999
2021-04-01,1288263.06051,1259377.082109997,1287910.455939319,1458094.502839999,1153602.9316999998,1304060.3816400005,1242140.805119999
2021-04-02,1293725.57125,1284537.4635699969,1291440.8659260336,1480968.8328399989,1151285.4817,1296991.0963700006,1261914.4384699992
2021-04-06,1282476.1842200002,1245247.5187499968,1282316.1241041292,1446925.962839999,1152935.1017,1300446.165940001,1233393.080119999
2021-04-07,1261388.6956700005,1231160.3088899967,1268567.7893239397,1434221.0828399989,1147651.7517,1294640.9649900005,1223786.102619999
2021-04-08,1267347.9532000003,1231908.707489997,1272286.432380796,1433820.9828399988,1148732.7817,1295459.5841300006,1223323.771089999
2021-04-09,1240467.1157600004,1199290.9925499968,1248134.0438206547,1398431.3428399991,1129804.2117,1279725.3100700006,1194271.691819999
2021-04-12,1221738.6541800003,1179439.738439997,1239193.7099029643,1376645.3728399992,1107060.2417,1263137.784610001,1174275.8755999992
2021-04-13,1197319.5273500003,1103982.114419997,1214688.0049709892,1312015.9928399993,1109458.3417,1259525.8465400003,1123053.6591999994
2021-04-14,1218283.0432400005,1159585.8876099968,1230601.9993778695,1362486.302839999,1104470.3517,1259377.5472600006,1163266.480459999
2021-04-15,1201319.34237,1141822.670209997,1211469.324190918,1343919.5228399988,1089679.2417,1245843.4974700008,1148517.690869999
2021-04-16,1210903.3878100002,1149497.8150199968,1215760.9325011794,1353612.9028399987,1092791.0617,1250714.1254500009,1156540.7095699992
